"","Label","Januari","Februari","Maret","April","Mei","kmeans_clustering.cluster"
"1","PULAU PANGGANG",5,2,2,2,0,1
"2","PULAU KELAPA",0,1,2,7,0,1
"3","PULAU HARAPAN",0,0,1,4,0,1
"4","PULAU UNTUNG JAWA",0,3,2,3,0,1
"5","PULAU TIDUNG",4,1,2,1,2,1
"6","PULAU PARI",2,0,3,4,0,1
"7","GAMBIR",6,2,3,5,1,1
"8","CIDENG",3,7,11,10,5,1
"9","PETOJO UTARA",15,11,11,13,7,1
"10","PETOJO SELATAN",13,11,16,29,10,1
"11","KEBON KELAPA",10,4,7,5,3,1
"12","DURI PULO",8,6,4,15,2,1
"13","PASAR BARU",2,2,2,8,0,1
"14","KARANG ANYAR",14,6,7,7,7,1
"15","KARTINI",12,7,9,7,2,1
"16","GUNUNG SAHARI UTARA",6,8,7,11,5,1
"17","MANGGA DUA SELATAN",14,8,18,16,12,1
"18","KEMAYORAN",16,9,14,11,5,1
"19","KEBON KOSONG",33,24,26,24,15,2
"20","HARAPAN MULIA",20,14,19,12,5,1
"21","SERDANG",12,9,13,20,4,1
"22","GUNUNG SAHARI SELATAN",5,8,9,2,7,1
"23","CEMPAKA BARU",20,27,22,17,11,2
"24","SUMUR BATU",9,9,24,16,6,1
"25","UTAN PANJANG",12,11,18,13,5,1
"26","SENEN",1,14,9,11,1,1
"27","KENARI",6,6,1,10,1,1
"28","PASEBAN",11,12,27,20,10,1
"29","KRAMAT",20,12,21,27,15,2
"30","KWITANG",2,5,1,12,7,1
"31","BUNGUR",11,15,7,15,4,1
"32","CEMPAKA PUTIH TIMUR",14,10,15,14,7,1
"33","CEMPAKA PUTIH BARAT",14,14,26,16,12,1
"34","RAWASARI",32,15,35,21,8,2
"35","MENTENG",12,11,16,13,5,1
"36","PEGANGSAAN",18,11,15,21,3,1
"37","CIKINI",6,3,5,3,8,1
"38","GONDANGDIA",1,1,1,1,0,1
"39","KEBON SIRIH",1,3,5,7,4,1
"40","GELORA",0,0,4,0,0,1
"41","BENDUNGAN HILIR",9,13,8,13,8,1
"42","KARET TENGSIN",15,10,24,8,4,1
"43","PETAMBURAN",21,29,26,12,17,2
"44","KEBON MELATI",17,25,27,32,10,2
"45","KEBON KACANG",30,9,12,26,7,1
"46","KAMPUNG BALI",12,4,6,3,1,1
"47","JOHAR BARU",13,30,25,27,1,2
"48","KAMPUNG RAWA",8,8,9,13,7,1
"49","GALUR",3,4,7,2,2,1
"50","TANAH TINGGI",14,21,27,12,8,1
"51","PENJARINGAN",58,55,75,48,32,3
"52","KAMAL MUARA",10,11,16,17,8,1
"53","KAPUK MUARA",20,18,33,38,16,2
"54","PEJAGALAN",34,50,46,46,30,3
"55","PLUIT",25,26,56,29,27,2
"56","TANJUNG PRIOK",23,25,33,32,16,2
"57","SUNTER JAYA",34,40,36,39,31,2
"58","PAPANGGO",13,18,16,23,11,1
"59","SUNGAI BAMBU",10,7,21,29,5,1
"60","KEBON BAWANG",26,31,38,31,12,2
"61","SUNTER AGUNG",20,41,49,36,29,2
"62","WARAKAS",29,29,26,23,18,2
"63","KOJA",16,8,23,11,9,1
"64","TUGU UTARA",19,39,34,25,31,2
"65","LAGOA",19,38,31,32,12,2
"66","RAWA BADAK UTARA",14,18,18,16,5,1
"67","TUGU SELATAN",49,29,35,28,18,2
"68","RAWA BADAK SELATAN",22,41,27,20,19,2
"69","CILINCING",23,25,38,35,18,2
"70","SUKAPURA",40,47,49,44,26,3
"71","MARUNDA",19,14,27,22,11,2
"72","KALIBARU",29,50,57,37,27,3
"73","SEMPER TIMUR",22,29,26,18,19,2
"74","ROROTAN",34,25,42,27,27,2
"75","SEMPER BARAT",42,46,57,36,23,3
"76","PADEMANGAN TIMUR",33,6,23,39,15,2
"77","PADEMANGAN BARAT",36,37,45,34,27,2
"78","ANCOL",15,19,18,22,17,1
"79","KELAPA GADING TIMUR",8,13,23,10,16,1
"80","PEGANGSAAN DUA",27,26,50,36,25,2
"81","KELAPA GADING BARAT",32,28,52,29,25,2
"82","CENGKARENG BARAT",31,26,42,31,27,2
"83","DURI KOSAMBI",74,49,66,61,40,3
"84","RAWA BUAYA",25,46,64,38,22,3
"85","KEDAUNG KALI ANGKE",16,25,16,33,13,2
"86","KAPUK",87,78,94,75,60,3
"87","CENGKARENG TIMUR",47,50,66,78,54,3
"88","GROGOL",3,5,13,13,4,1
"89","TANJUNG DUREN UTARA",5,8,14,3,6,1
"90","TOMANG",13,11,30,13,13,1
"91","JELAMBAR",17,16,20,18,9,1
"92","TANJUNG DUREN SELATAN",16,13,36,26,15,2
"93","JELAMBAR BARU",27,26,27,27,12,2
"94","WIJAYA KUSUMA",23,24,34,26,10,2
"95","TAMAN SARI",5,2,6,8,8,1
"96","KRUKUT",1,5,8,14,8,1
"97","MAPHAR",4,5,10,13,4,1
"98","TANGKI",7,7,4,0,8,1
"99","MANGGA BESAR",1,2,7,2,0,1
"100","KEAGUNGAN",5,6,11,14,6,1
"101","GLODOK",0,0,5,2,1,1
"102","PINANGSIA",5,10,7,4,6,1
"103","TAMBORA",0,8,2,5,1,1
"104","KALI ANYAR",3,12,9,13,3,1
"105","DURI UTARA",5,7,19,5,2,1
"106","TANAH SEREAL",15,13,11,17,4,1
"107","KRENDANG",11,11,11,14,3,1
"108","JEMBATAN BESI",10,21,19,19,7,1
"109","ANGKE",16,17,13,18,6,1
"110","JEMBATAN LIMA",5,16,16,9,10,1
"111","PEKOJAN",5,12,18,13,13,1
"112","ROA MALAKA",2,0,3,0,0,1
"113","DURI SELATAN",8,8,7,4,4,1
"114","KEBON JERUK",34,30,45,33,22,2
"115","SUKABUMI UTARA",13,28,25,18,22,2
"116","SUKABUMI SELATAN",17,28,35,19,20,2
"117","KELAPA DUA",15,14,16,20,7,1
"118","DURI KEPA",35,24,55,38,13,2
"119","KEDOYA UTARA",18,23,30,28,17,2
"120","KEDOYA SELATAN",15,21,27,23,8,2
"121","KALIDERES",40,47,68,61,21,3
"122","SEMANAN",41,48,66,59,25,3
"123","TEGAL ALUR",39,47,61,62,47,3
"124","KAMAL",17,45,43,56,20,2
"125","PEGADUNGAN",36,46,59,59,49,3
"126","PALMERAH",33,27,47,37,21,2
"127","SLIPI",15,12,16,6,1,1
"128","KOTA BAMBU UTARA",11,15,14,27,8,1
"129","JATIPULO",3,13,24,14,7,1
"130","KEMANGGISAN",14,16,26,10,18,1
"131","KOTA BAMBU SELATAN",8,6,16,17,11,1
"132","KEMBANGAN UTARA",29,33,39,43,19,2
"133","MERUYA UTARA",47,25,55,20,13,2
"134","MERUYA SELATAN",22,21,34,22,15,2
"135","SRENGSENG",24,38,38,31,13,2
"136","JOGLO",19,32,37,39,18,2
"137","KEMBANGAN SELATAN",2,14,12,22,9,1
"138","TEBET TIMUR",6,9,11,7,11,1
"139","TEBET BARAT",15,5,15,20,12,1
"140","MENTENG DALAM",18,19,15,21,6,1
"141","KEBON BARU",12,9,19,15,5,1
"142","BUKIT DURI",16,19,20,23,13,1
"143","MANGGARAI SELATAN",17,16,8,14,13,1
"144","MANGGARAI",11,11,20,19,11,1
"145","SETIA BUDI",1,2,0,4,2,1
"146","KARET SEMANGGI",3,3,3,1,0,1
"147","KARET KUNINGAN",15,13,14,5,11,1
"148","KARET",2,10,4,10,2,1
"149","MENTENG ATAS",16,10,28,19,10,1
"150","PASAR MANGGIS",28,19,17,19,9,2
"151","GUNTUR",4,5,1,1,2,1
"152","KUNINGAN TIMUR",3,5,5,5,2,1
"153","MAMPANG PRAPATAN",11,7,15,11,8,1
"154","BANGKA",17,6,24,10,11,1
"155","PELA MAMPANG",21,18,24,22,15,2
"156","TEGAL PARANG",19,22,13,12,16,1
"157","KUNINGAN BARAT",5,4,5,5,7,1
"158","PASAR MINGGU",18,18,14,19,20,1
"159","JATI PADANG",24,12,18,19,12,1
"160","CILANDAK TIMUR",27,18,14,26,8,2
"161","RAGUNAN",30,27,30,50,11,2
"162","PEJATEN TIMUR",47,36,48,51,18,3
"163","PEJATEN BARAT",16,21,31,21,27,2
"164","KEBAGUSAN",25,13,32,39,16,2
"165","KEBAYORAN LAMA UTARA",25,20,36,31,10,2
"166","PONDOK PINANG",19,39,34,41,15,2
"167","CIPULIR",18,22,35,39,16,2
"168","GROGOL UTARA",9,20,20,27,8,1
"169","GROGOL SELATAN",21,20,35,17,17,2
"170","KEBAYORAN LAMA SELATAN",24,21,40,28,17,2
"171","CILANDAK BARAT",39,48,31,35,36,2
"172","LEBAK BULUS",37,17,33,21,24,2
"173","PONDOK LABU",18,33,39,35,19,2
"174","GANDARIA SELATAN",10,9,16,11,11,1
"175","CIPETE SELATAN",15,9,16,15,17,1
"176","MELAWAI",3,1,2,1,0,1
"177","GUNUNG",0,8,11,6,1,1
"178","KRAMAT PELA",3,2,20,7,3,1
"179","SELONG",0,0,1,2,1,1
"180","RAWA BARAT",2,1,11,3,7,1
"181","SENAYAN",2,2,4,0,0,1
"182","PULO",4,0,2,5,3,1
"183","PETOGOGAN",9,6,10,2,4,1
"184","GANDARIA UTARA",14,33,23,15,13,2
