"","Label","Januari","Februari","Maret","April","Mei","kmeans_clustering.cluster"
"1","PULAU PANGGANG",12,3,7,5,0,1
"2","PULAU KELAPA",0,2,3,11,1,1
"3","PULAU HARAPAN",0,0,2,8,1,1
"4","PULAU UNTUNG JAWA",1,5,4,3,4,1
"5","PULAU TIDUNG",7,1,2,1,2,1
"6","PULAU PARI",6,0,4,7,0,1
"7","GAMBIR",8,2,7,10,2,1
"8","CIDENG",6,13,19,21,8,1
"9","PETOJO UTARA",27,24,19,20,13,1
"10","PETOJO SELATAN",20,19,33,45,13,1
"11","KEBON KELAPA",14,6,8,11,5,1
"12","DURI PULO",16,10,10,21,4,1
"13","PASAR BARU",5,3,9,11,0,1
"14","KARANG ANYAR",23,11,16,10,10,1
"15","KARTINI",18,11,14,13,5,1
"16","GUNUNG SAHARI UTARA",7,12,17,21,7,1
"17","MANGGA DUA SELATAN",23,22,35,34,21,1
"18","KEMAYORAN",30,21,29,19,10,1
"19","KEBON KOSONG",62,38,48,50,28,2
"20","HARAPAN MULIA",36,15,32,26,7,1
"21","SERDANG",25,18,25,33,11,1
"22","GUNUNG SAHARI SELATAN",9,14,23,9,12,1
"23","CEMPAKA BARU",32,50,47,30,24,2
"24","SUMUR BATU",18,24,40,22,10,1
"25","UTAN PANJANG",24,18,29,32,11,1
"26","SENEN",2,19,15,18,4,1
"27","KENARI",12,8,4,23,5,1
"28","PASEBAN",18,24,42,36,19,1
"29","KRAMAT",35,31,40,48,34,2
"30","KWITANG",7,12,3,27,11,1
"31","BUNGUR",26,26,17,29,11,1
"32","CEMPAKA PUTIH TIMUR",29,18,25,25,14,1
"33","CEMPAKA PUTIH BARAT",25,31,48,29,20,1
"34","RAWASARI",55,42,65,36,18,2
"35","MENTENG",24,24,29,24,10,1
"36","PEGANGSAAN",28,19,28,34,10,1
"37","CIKINI",12,5,10,9,11,1
"38","GONDANGDIA",2,2,4,4,0,1
"39","KEBON SIRIH",6,8,9,17,11,1
"40","GELORA",1,0,8,1,0,1
"41","BENDUNGAN HILIR",18,25,21,24,14,1
"42","KARET TENGSIN",31,24,47,19,13,1
"43","PETAMBURAN",43,56,56,33,32,2
"44","KEBON MELATI",44,47,45,53,17,2
"45","KEBON KACANG",41,15,32,38,15,1
"46","KAMPUNG BALI",15,10,13,7,2,1
"47","JOHAR BARU",30,49,44,54,9,2
"48","KAMPUNG RAWA",17,15,15,22,15,1
"49","GALUR",6,14,11,4,4,1
"50","TANAH TINGGI",27,34,41,22,13,1
"51","PENJARINGAN",112,110,135,112,64,3
"52","KAMAL MUARA",23,17,31,39,15,1
"53","KAPUK MUARA",34,40,57,75,30,2
"54","PEJAGALAN",60,88,83,80,57,2
"55","PLUIT",48,49,102,57,49,2
"56","TANJUNG PRIOK",46,48,63,56,30,2
"57","SUNTER JAYA",70,69,72,83,56,2
"58","PAPANGGO",25,32,44,41,28,1
"59","SUNGAI BAMBU",22,26,39,51,10,1
"60","KEBON BAWANG",49,59,65,68,22,2
"61","SUNTER AGUNG",46,73,99,67,40,2
"62","WARAKAS",73,54,48,41,33,2
"63","KOJA",30,20,42,25,18,1
"64","TUGU UTARA",40,81,78,60,59,2
"65","LAGOA",32,76,62,60,23,2
"66","RAWA BADAK UTARA",18,41,38,27,15,1
"67","TUGU SELATAN",79,58,68,64,44,2
"68","RAWA BADAK SELATAN",40,66,41,45,37,2
"69","CILINCING",49,52,67,71,32,2
"70","SUKAPURA",73,80,107,87,64,3
"71","MARUNDA",39,34,50,41,26,2
"72","KALIBARU",57,105,110,77,48,3
"73","SEMPER TIMUR",48,62,54,42,37,2
"74","ROROTAN",62,64,86,62,50,2
"75","SEMPER BARAT",73,88,100,69,36,2
"76","PADEMANGAN TIMUR",56,12,42,72,28,2
"77","PADEMANGAN BARAT",73,67,82,62,55,2
"78","ANCOL",31,25,32,46,30,1
"79","KELAPA GADING TIMUR",13,26,39,14,26,1
"80","PEGANGSAAN DUA",49,63,84,64,46,2
"81","KELAPA GADING BARAT",54,47,83,55,48,2
"82","CENGKARENG BARAT",63,54,73,59,49,2
"83","DURI KOSAMBI",137,95,158,131,79,3
"84","RAWA BUAYA",54,100,113,80,55,3
"85","KEDAUNG KALI ANGKE",31,49,29,66,26,2
"86","KAPUK",175,164,177,146,127,3
"87","CENGKARENG TIMUR",97,103,124,144,86,3
"88","GROGOL",4,14,28,21,11,1
"89","TANJUNG DUREN UTARA",9,11,24,8,10,1
"90","TOMANG",24,21,37,27,23,1
"91","JELAMBAR",28,24,33,29,17,1
"92","TANJUNG DUREN SELATAN",33,22,67,50,30,2
"93","JELAMBAR BARU",42,41,48,50,23,2
"94","WIJAYA KUSUMA",47,40,62,46,18,2
"95","TAMAN SARI",8,4,13,13,18,1
"96","KRUKUT",6,7,19,25,19,1
"97","MAPHAR",5,8,20,23,8,1
"98","TANGKI",11,12,8,1,9,1
"99","MANGGA BESAR",3,4,12,3,1,1
"100","KEAGUNGAN",13,17,26,26,9,1
"101","GLODOK",2,0,9,5,1,1
"102","PINANGSIA",8,16,12,7,12,1
"103","TAMBORA",0,8,4,11,2,1
"104","KALI ANYAR",8,27,22,24,10,1
"105","DURI UTARA",13,14,28,12,4,1
"106","TANAH SEREAL",29,19,25,28,8,1
"107","KRENDANG",20,21,20,21,5,1
"108","JEMBATAN BESI",18,35,41,37,19,1
"109","ANGKE",27,36,25,35,12,1
"110","JEMBATAN LIMA",15,32,32,21,20,1
"111","PEKOJAN",10,19,27,18,21,1
"112","ROA MALAKA",4,0,6,1,1,1
"113","DURI SELATAN",13,13,12,11,6,1
"114","KEBON JERUK",65,57,83,60,42,2
"115","SUKABUMI UTARA",23,42,44,38,47,2
"116","SUKABUMI SELATAN",37,52,53,35,32,2
"117","KELAPA DUA",35,32,30,33,19,1
"118","DURI KEPA",58,57,92,68,40,2
"119","KEDOYA UTARA",36,43,54,56,33,2
"120","KEDOYA SELATAN",20,37,49,41,16,1
"121","KALIDERES",63,89,136,122,46,3
"122","SEMANAN",74,101,130,113,48,3
"123","TEGAL ALUR",69,99,127,122,87,3
"124","KAMAL",40,91,88,95,38,2
"125","PEGADUNGAN",70,82,120,114,73,3
"126","PALMERAH",65,58,88,61,43,2
"127","SLIPI",28,22,31,13,7,1
"128","KOTA BAMBU UTARA",17,29,25,46,18,1
"129","JATIPULO",7,25,34,24,15,1
"130","KEMANGGISAN",28,35,48,20,33,1
"131","KOTA BAMBU SELATAN",13,16,25,26,26,1
"132","KEMBANGAN UTARA",54,71,65,76,29,2
"133","MERUYA UTARA",89,40,97,43,30,2
"134","MERUYA SELATAN",38,38,61,41,28,2
"135","SRENGSENG",43,71,68,60,25,2
"136","JOGLO",29,53,60,81,30,2
"137","KEMBANGAN SELATAN",4,32,15,42,15,1
"138","TEBET TIMUR",11,16,23,22,22,1
"139","TEBET BARAT",25,16,32,33,21,1
"140","MENTENG DALAM",42,28,28,34,11,1
"141","KEBON BARU",28,16,28,23,9,1
"142","BUKIT DURI",30,40,44,40,25,2
"143","MANGGARAI SELATAN",29,34,19,23,20,1
"144","MANGGARAI",16,28,39,36,17,1
"145","SETIA BUDI",1,2,0,14,3,1
"146","KARET SEMANGGI",5,4,6,2,0,1
"147","KARET KUNINGAN",25,27,20,10,19,1
"148","KARET",5,20,12,18,3,1
"149","MENTENG ATAS",27,15,60,39,17,1
"150","PASAR MANGGIS",52,35,35,37,12,1
"151","GUNTUR",8,6,2,6,3,1
"152","KUNINGAN TIMUR",6,7,8,9,6,1
"153","MAMPANG PRAPATAN",25,10,22,19,14,1
"154","BANGKA",28,12,36,19,16,1
"155","PELA MAMPANG",34,29,48,43,31,2
"156","TEGAL PARANG",34,41,28,24,34,1
"157","KUNINGAN BARAT",5,10,7,11,11,1
"158","PASAR MINGGU",29,29,25,41,33,1
"159","JATI PADANG",43,23,37,37,28,1
"160","CILANDAK TIMUR",64,40,51,71,14,2
"161","RAGUNAN",53,45,62,85,23,2
"162","PEJATEN TIMUR",81,73,92,96,41,3
"163","PEJATEN BARAT",31,47,53,47,38,2
"164","KEBAGUSAN",50,24,54,69,25,2
"165","KEBAYORAN LAMA UTARA",45,43,67,62,17,2
"166","PONDOK PINANG",37,69,61,80,37,2
"167","CIPULIR",28,49,52,65,30,2
"168","GROGOL UTARA",19,37,37,47,19,1
"169","GROGOL SELATAN",41,44,57,31,35,2
"170","KEBAYORAN LAMA SELATAN",42,38,70,52,38,2
"171","CILANDAK BARAT",65,75,63,64,55,2
"172","LEBAK BULUS",63,30,62,43,44,2
"173","PONDOK LABU",29,66,63,65,35,2
"174","GANDARIA SELATAN",13,16,27,18,14,1
"175","CIPETE SELATAN",23,14,26,22,33,1
"176","MELAWAI",5,1,3,4,0,1
"177","GUNUNG",2,16,20,15,5,1
"178","KRAMAT PELA",8,5,30,13,10,1
"179","SELONG",0,0,2,3,2,1
"180","RAWA BARAT",4,2,13,4,8,1
"181","SENAYAN",5,6,8,2,1,1
"182","PULO",8,0,4,13,7,1
"183","PETOGOGAN",20,13,18,6,5,1
"184","GANDARIA UTARA",28,57,41,37,29,2
"185","CIPETE UTARA",36,14,45,45,33,1
"186","PANCORAN",29,17,30,5,25,1
"187","KALIBATA",43,47,57,52,30,2
"188","RAWAJATI",41,47,55,46,37,2
"189","DUREN TIGA",38,13,36,29,15,1
"190","PENGADEGAN",39,35,28,31,13,1
"191","CIKOKO",12,10,8,15,4,1
"192","JAGAKARSA",62,83,114,85,53,3
"193","SRENGSENG SAWAH",71,69,95,79,64,2
"194","CIGANJUR",61,74,54,63,34,2
"195","LENTENG AGUNG",51,39,79,54,16,2
"196","TANJUNG BARAT",50,45,50,42,41,2
"197","CIPEDAK",46,43,62,48,37,2
"198","PESANGGRAHAN",32,46,64,37,25,2
"199","BINTARO",78,50,79,63,36,2
"200","PETUKANGAN UTARA",71,62,106,54,63,2
"201","PETUKANGAN SELATAN",65,51,46,82,41,2
"202","ULUJAMI",43,42,72,65,46,2
"203","PISANGAN BARU",29,50,27,28,28,1
"204","UTAN KAYU UTARA",20,46,40,42,19,1
"205","KAYU MANIS",8,37,40,20,9,1
"206","PALMERIAM",14,29,33,21,30,1
"207","KEBON MANGGIS",22,25,20,28,22,1
"208","UTAN KAYU SELATAN",24,35,39,18,16,1
"209","PULO GADUNG",45,74,54,59,34,2
"210","PISANGAN TIMUR",34,25,66,40,46,2
"211","CIPINANG",55,48,67,35,17,2
"212","JATINEGARA KAUM",36,22,32,22,16,1
"213","RAWAMANGUN",40,42,74,33,14,2
"214","KAYU PUTIH",56,78,83,48,32,2
"215","JATI",16,40,46,35,11,1
"216","KAMPUNG MELAYU",20,21,43,15,19,1
"217","BIDARA CINA",30,30,30,57,15,1
"218","BALI MESTER",5,17,8,5,13,1
"219","RAWA BUNGA",20,27,34,9,19,1
"220","CIPINANG CEMPEDAK",23,42,31,24,17,1
"221","CIPINANG MUARA",51,62,72,55,43,2
"222","CIPINANG BESAR SELATAN",48,25,57,61,22,2
"223","CIPINANG BESAR UTARA",48,46,34,62,40,2
"224","KRAMATJATI",44,49,43,57,25,2
"225","TENGAH",64,74,73,63,35,2
"226","DUKUH",24,67,31,23,23,1
"227","BATU AMPAR",68,60,105,44,31,2
"228","BALEKAMBANG",49,34,46,46,22,2
"229","CILILITAN",68,43,68,61,50,2
"230","CAWANG",40,49,73,54,31,2
"231","GEDONG",47,48,68,73,32,2
"232","BARU",71,48,80,45,62,2
"233","CIJANTUNG",70,51,99,67,36,2
"234","KALISARI",73,64,70,59,41,2
"235","PEKAYON",53,75,63,91,45,2
"236","JATINEGARA",77,128,128,93,65,3
"237","RAWA TERATE",39,23,47,40,31,2
"238","PENGGILINGAN",140,180,183,142,100,3
"239","CAKUNG TIMUR",96,117,98,125,78,3
"240","PULO GEBANG",145,182,217,165,98,3
"241","UJUNG MENTENG",50,55,55,55,35,2
"242","CAKUNG BARAT",109,57,86,95,50,3
"243","DUREN SAWIT",59,68,76,63,38,2
"244","PONDOK BAMBU",56,71,92,61,55,2
"245","KLENDER",91,90,108,116,69,3
"246","PONDOK KELAPA",93,106,119,120,96,3
"247","MALAKA SARI",22,42,32,32,23,1
"248","MALAKA JAYA",34,23,41,33,28,1
"249","PONDOK KOPI",49,48,62,53,35,2
"250","MAKASAR",42,56,51,48,21,2
"251","PINANGRANTI",38,43,50,71,44,2
"252","KEBON PALA",70,56,73,71,52,2
"253","HALIM PERDANA KUSUMAH",58,40,47,69,79,2
"254","CIPINANG MELAYU",54,63,60,58,34,2
"255","CIRACAS",86,92,81,111,76,3
"256","CIBUBUR",83,98,79,88,50,3
"257","KELAPA DUA WETAN",52,79,100,70,36,2
"258","SUSUKAN",52,58,22,55,35,2
"259","RAMBUTAN",51,33,54,74,23,2
"260","CIPAYUNG",43,20,47,30,36,1
"261","CILANGKAP",49,45,44,40,39,2
"262","PONDOK RANGGON",43,33,44,54,22,2
"263","MUNJUL",28,19,54,35,20,1
"264","SETU",33,38,74,38,20,2
"265","BAMBU APUS",31,34,56,30,43,2
"266","LUBANG BUAYA",71,75,93,99,64,3
"267","CEGER",22,14,36,21,10,1
